,#,Port,Country/ Region,Region,Location,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,1,Shanghai,China,East Asia,Yangtze Delta,"47,303","47,030","43,500","43,303","42,010","40,233","37,133","36,537","35,268","33,617","32,529","31,700","29,069","25,002","27,980","26,150","21,710","18,084","14,557"
1,2,Singapore,Singapore,Southeast Asia,Singapore Strait,"37,289","37,470","36,600","37,195","36,599","33,666","30,904","30,922","33,869","32,240","31,649","29,937","28,431","25,866","29,918","27,932","24,792","23,192","21,329"
2,3,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,"33,351","31,070","28,720","27,530","26,351","24,607","21,560","20,620","19,450","17,351","16,670","14,686","13,144","10,502","11,226","9,349","7,068","5,208","4,006"
3,4,Shenzhen,China,East Asia,Pearl River Delta,"30,036","28,768","26,550","25,770","25,740","25,208","23,979","24,204","23,798","23,280","22,940","22,570","22,510","18,250","21,414","21,099","18,469","16,197","13,615"
4,5,Qingdao,China,East Asia,Yellow Sea,"25,670","23,710","22,000","21,010","19,315","18,262","18,010","17,510","16,624","15,520","14,503","13,020","12,012","10,260","10,320","9,462","7,702","6,307","5,140"
5,6,Guangzhou,China,East Asia,Pearl River Delta,"24,857","24,180","23,190","23,236","21,992","20,370","18,858","17,625","16,160","15,309","14,744","14,400","12,550","11,190","11,001","9,200","6,600","4,685","3,308"
6,7,Busan,South Korea,East Asia,Korean Strait,"22,078","22,706","21,590","21,992","21,662","20,493","19,850","19,469","18,423","17,690","17,046","16,185","14,157","11,954","13,425","13,270","12,039","11,843","11,430"
7,8,Tianjin,China,East Asia,Yellow Sea,"21,021","20,269","18,350","17,264","15,972","15,040","14,490","14,090","14,050","13,010","12,300","11,500","10,080","8,700","8,500","7,103","5,950","4,801","3,814"
8,9,Los Angeles / Long Beach,United States,North America,West Coast,"19,044","20,061","17,327","16,969","17,549","17,013","15,632","15,352","15,161","14,600","14,124","14,002","14,095","11,815","14,200","15,671","15,759","14,195","13,101"
9,10,Hong Kong,Hong Kong,East Asia,Pearl River Delta,"16,685","17,798","20,070","18,361","19,596","20,770","19,813","20,073","22,374","22,352","23,117","24,384","23,532","20,983","24,248","23,881","23,539","22,427","21,984"
